fonte_de_recursos,valor_despesas,indice_despesas,nome_despesas
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,79760504.67,31900119,ATRASADOS-OUTROS PODERES/MINIST.PUBLICO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1850834374.26,31900124,COMPLEMENTACAO DE APOSENTADORIA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,124536202.87,31900125,COMPLEMENTACAO DE APOSENTADORIA - 13ºSALARIO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,10948297.0,31900325,COMPLEMENTACAO DE PENSAO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,521632.3,31900326,COMPLEMENTACAO DE PENSAO - 13º SALARIO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,29687439.37,31900327,ATRASADOS-OUTROS PODERES E MINISTERIO PUBLIC
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,85701614.8,31900701,CONTRIBUICAO PATRONAL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1911133.78,31900801,SALARIO FAMILIA - CIVIL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,20503.36,31900803,SALARIO FAMILIA-INATIVOS DO EXECUTIVO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,2035758.6,31900843,AUXILIO-RECLUSAO (LC 1.012/07)
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,24250904009.59,31901111,PESSOAL CIVIL PAGO PELO DDPE
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,8308253867.35,31901112,PESSOAL CIVIL PAGO PELA UNIDADE
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1950291607.1,31901128,PESSOAL CIVIL PAGO PELO DDPE-13 SALARIO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,730955200.08,31901129,PESSOAL CIVIL PAGO PELA UNIDADE-13 SALARIO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,458919705.32,31901130,PESSOAL CIVIL PAGO PELO DDPE - 1/3 FERIAS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,289319372.9,31901131,PESSOAL CIVIL PAGO PELA UNIDADE-1/3 FERIAS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,224938928.41,31901133,VENCITOS.ATRASADOS-OUTR.PODERES E MINIST.PUB
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,596465744.0,31901136,ABONO DE PERMANENCIA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,198524686.15,31901137,LICENCA PREMIO - PESSOAL CIVIL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,5627183235.05,31901201,VENCIM.E VANTAG.FIXAS-PESSOAL MILITAR
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,415566414.65,31901209,PESSOAL MILITAR-13 SALARIO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,155487592.1,31901210,PESSOAL MILITAR-1/3 FERIAS
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,36562520.37,31901211,ABONO DE PERMANENCIA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,69645973.3,31901212,LICENCA PREMIO - PESSOAL MILITAR
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,398021884.97,31901312,OUTRAS CONTRIBUICOES DE PREV.SOCIAL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,451189769.45,31901313,FUNDO DE GARANTIA POR TEMPO DE SERVICO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33739322.18,31901320,OUTRAS CONTRIB.PREV.SOCIAL-13 SALARIO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11948435.68,31901321,FGTS-13 SALARIO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,194611317.99,31901322,PARCELAM.DE DEBITOS JUNTO A PREV.SOCIAL
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1193470771.92,31901323,PREVIDENCIA SOCIAL/PESSOAL CLT
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,73652050.2,31901324,PREVIDENCIA SOCIAL/PESSOAL COMISSIONADO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,126809.8,31901327,ENC.PATRO.POR DEMISSAO DE SERVIDOR/EMPREGADO
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,169310299.35,31901611,VERBA HONORARIA
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,499023.13,31901612,VERBA HONORARIA-13 SALARIO
